,searched_zipcode,searched_lat,searched_lng,searched_address,searched_state,searched_city,searched_metro,latitude,longitude,distance,loc_name,loc_number,url,address,cuisines,delivery_time_raw,delivery_time,review_count,review_rating,cuisines split
2,11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.6754643,-73.9807822,1.594482039,Lotus Vietnamese Sandwiches,7552,https://www.doordash.com/store/7552/?pickup=false,"229 5th Avenue, Brooklyn, NY 11215, USA",Vietnamese|Bubble Tea|Smoothies|Sandwiches|Pho,24 - 34,29,1364,4.8,"['Vietnamese', 'Bubble Tea', 'Smoothies', 'Sandwiches', 'Pho']"
5,11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.6729784,-73.9504615,0.404576503,Taqueria Milear,133345,https://www.doordash.com/store/133345/?pickup=false,"752 Nostrand Ave, Brooklyn, NY 11216, USA",Mexican|Tacos|Burritos|Dessert|Brunch,23 - 33,28,2000,4.6,"['Mexican', 'Tacos', 'Burritos', 'Dessert', 'Brunch']"
8,11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.6745375,-73.95000743,0.298769641,Cielito Lindo,328460,https://www.doordash.com/store/328460/?pickup=false,"665 Nostrand Ave, Brooklyn, NY 11216, USA",Mexican|Breakfast|Burritos|Salads|Soup,20 - 30,25,163,4.7,"['Mexican', 'Breakfast', 'Burritos', 'Salads', 'Soup']"
11,11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.6809304,-73.9771403,1.394091781,Artichoke Basille's Pizza,48755,https://www.doordash.com/store/48755/?pickup=false,"59 5th Ave, Brooklyn, NY 11217, USA",Pizza|Pie,37 - 47,42,2000,4.5,"['Pizza', 'Pie']"
14,10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.6685832,-73.9805153,1.716376366,Five Guys Burgers & Fries,5155,https://www.doordash.com/store/5155/?pickup=false,"284 7th Avenue, Brooklyn, NY 11215, USA",Hot Dogs|Dinner|Fast Food|Burgers,29 - 39,34,2000,4.5,"['Hot Dogs', 'Dinner', 'Fast Food', 'Burgers']"
17,11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.7009835,-73.9414388,1.605158111,IHOP,16934,https://www.doordash.com/store/16934/?pickup=false,"785 Flushing Avenue, Brooklyn, NY 11206, USA",Pancakes|Burgers|Sandwiches|Breakfast,25 - 35,30,2000,4.3,"['Pancakes', 'Burgers', 'Sandwiches', 'Breakfast']"
20,10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.6741991,-73.9823955,1.692505566,Two Boots Pizza,213999,https://www.doordash.com/store/213999/?pickup=false,"Two Boots Park Slope, 284 5th Ave, Brooklyn, NY 11215, USA",Italian|Pizza|Calzones|Salads|Dessert,28 - 38,33,263,4.7,"['Italian', 'Pizza', 'Calzones', 'Salads', 'Dessert']"
23,11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.7043793,-73.9424803,1.81655391,Princesa Bakery,312807,https://www.doordash.com/store/312807/?pickup=false,"94 Graham Ave, Brooklyn, NY 11206, USA",Bakery|Breakfast|Sandwiches|Fast Food|Milk Shakes,28 - 38,33,81,4.6,"['Bakery', 'Breakfast', 'Sandwiches', 'Fast Food', 'Milk Shakes']"
26,10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.668866,-73.942079,0.822857329,Mendy's NYC,1305897,https://www.doordash.com/store/1305897/?pickup=false,"Mendy's, 792 Eastern Pkwy, Brooklyn, NY 11213, USA",Sandwiches|Chinese|Dessert|Burgers|Soup,24 - 34,29,127,4.6,"['Sandwiches', 'Chinese', 'Dessert', 'Burgers', 'Soup']"
29,11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.6806626,-73.950335,0.127749109,McDonald's,2109255,https://www.doordash.com/store/2109255/?pickup=false,"1275 Fulton St, Brooklyn, NY 11216, USA",American (New)|Fast Food|Ice Cream|Burgers|Fried Chicken|Chicken,19-Sep,14,882,4.6,"['American (New)', 'Fast Food', 'Ice Cream', 'Burgers', 'Fried Chicken', 'Chicken']"
32,11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.677194,-73.972246,1.135776825,Chipotle,270562,https://www.doordash.com/store/270562/?pickup=false,"347 Flatbush Ave, Brooklyn, NY 11238, USA",Mexican|Vegan|Chicken|Gluten-Free|Vegetarian|Salads|Healthy|Lunch|Tacos|BBQ,21 - 31,26,2000,4.3,"['Mexican', 'Vegan', 'Chicken', 'Gluten-Free', 'Vegetarian', 'Salads', 'Healthy', 'Lunch', 'Tacos', 'BBQ']"
35,11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.6806625,-73.94972855,0.135896457,Taco Bell,1179070,https://www.doordash.com/store/1179070/?pickup=false,"491 Nostrand Ave, Brooklyn, NY 11216, USA",Comfort Food|Mexican|Tex-Mex|Fast Food|Tacos|Lunch,28 - 38,33,2000,4.2,"['Comfort Food', 'Mexican', 'Tex-Mex', 'Fast Food', 'Tacos', 'Lunch']"
38,10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.6927348,-73.9282437,1.517902631,Little Caesars Pizza,1149022,https://www.doordash.com/store/1149022/?pickup=false,"1164 Broadway, Brooklyn, NY 11221, USA",brownies|Wings|Deep Dish Pizza|Wood Fire Pizza|Pizza|Italian,21 - 31,26,2000,4.5,"['brownies', 'Wings', 'Deep Dish Pizza', 'Wood Fire Pizza', 'Pizza', 'Italian']"
41,10003,40.7324733,-73.98738,"41 Cooper Square, 7 E 7th St, New York, NY 10003, USA",NY,New York,NY,40.6845887,-73.9769192,1.431283246,Buffalo Wild Wings,28552,https://www.doordash.com/store/28552/?pickup=false,"Target, 139 Flatbush Ave, Brooklyn, NY 11217, USA",Comfort|Chicken Wings|Wings|Burgers|Sandwiches|Wraps|Salads,40 - 50,45,2000,3.9,"['Comfort', 'Chicken Wings', 'Wings', 'Burgers', 'Sandwiches', 'Wraps', 'Salads']"
44,11219,40.6310753,-73.9976946,"4701 15th Ave, Brooklyn, NY 11219, USA",NY,Brooklyn,NY,40.6801044,-73.9492977,0.113821251,KFC,1451887,https://www.doordash.com/store/1451887/?pickup=false,"495 Nostrand Ave., Brooklyn, NY 11216, USA",Snacks|Comfort Food|Fast Food|American|Fried Chicken|Sandwich|Burgers,16-Jun,11,955,4.1,"['Snacks', 'Comfort Food', 'Fast Food', 'American', 'Fried Chicken', 'Sandwich', 'Burgers']"
47,11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.6812305,-73.9554942,0.301922408,Popeyes,293524,https://www.doordash.com/store/293524/?pickup=false,"1153 Fulton St, Brooklyn, NY 11216, USA",Sandwiches|Spicy Chicken|Seafood|Shrimp|Iced Teas|Beverages|Chicken Tenders|Fried Chicken|Fries|Pie|Desserts,16 - 26,21,2000,3.9,"['Sandwiches', 'Spicy Chicken', 'Seafood', 'Shrimp', 'Iced Teas', 'Beverages', 'Chicken Tenders', 'Fried Chicken', 'Fries', 'Pie', 'Desserts']"
50,11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.6629397,-73.9616985,1.240616702,Wendy's,1289935,https://www.doordash.com/store/1289935/?pickup=false,"Wendy's, 469 Flatbush Ave, Brooklyn, NY 11225, USA",Dessert|Salads|Sandwich|Breakfast and Lunch|Vegetarian|American (New)|Burgers|Fast Food|Chicken,23 - 33,28,2000,4.1,"['Dessert', 'Salads', 'Sandwich', 'Breakfast and Lunch', 'Vegetarian', 'American (New)', 'Burgers', 'Fast Food', 'Chicken']"
53,11216,40.6788319,-73.9506774,"300 Madison St, Brooklyn, NY 11216, USA",NY,Brooklyn,NY,40.6673466,-73.9566011,0.852070847,Subway,328677,https://www.doordash.com/store/328677/?pickup=false,"1622 Bedford Ave, Brooklyn, NY 11225, USA",Sandwiches|Salad|Fast Food|Breakfast|Healthy|Lunch|Dessert|Takeout|Delis|Catering|Salads|Dinner,15 - 25,20,1293,4.5,"['Sandwiches', 'Salad', 'Fast Food', 'Breakfast', 'Healthy', 'Lunch', 'Dessert', 'Takeout', 'Delis', 'Catering', 'Salads', 'Dinner']"
